name,address,ticker,sector
"Essex Property Trust, Inc.","Palo Alto, California",ESS,Real Estate
Estee Lauder Cos.,"New York, New York",EL,Consumer Staples
Eversource Energy,"Springfield, Massachusetts",ES,Utilities
Everest Re Group Ltd.,"Hamilton, Bermuda",RE,Financials
Exelon Corp.,"Chicago, Illinois",EXC,Utilities
Expedia Inc.,"Bellevue, Washington",EXPE,Consumer Discretionary
Expeditors International,"Seattle, Washington",EXPD,Industrials
Express Scripts,"Cool Valley, Missouri",ESRX,Health Care
Extra Space Storage,"Salt Lake City, Utah",EXR,Real Estate
Exxon Mobil Corp.,"Irving, Texas",XOM,Energy
F5 Networks,"Seattle, Washington",FFIV,Information Technology
"Facebook, Inc.","Menlo Park, California",FB,Information Technology
Fastenal Co,"Winona, Minnesota",FAST,Industrials
Federal Realty Investment Trust,"Rockville, Maryland",FRT,Real Estate
FedEx Corporation,"Memphis, Tennessee",FDX,Industrials
Fidelity National Information Services,"Jacksonville, Florida",FIS,Information Technology
Fifth Third Bancorp,"Cincinnati, Ohio",FITB,Financials
FirstEnergy Corp,"Akron, Ohio",FE,Utilities
Fiserv Inc,"Brookfield, Wisconsin",FISV,Information Technology
FLIR Systems,"Wilsonville, Oregon",FLIR,Information Technology
Flowserve Corporation,"Irving, Texas",FLS,Industrials
Fluor Corp.,"Irving, Texas",FLR,Industrials
FMC Corporation,"Philadelphia, Pennsylvania",FMC,Materials
Foot Locker Inc,"New York, New York",FL,Consumer Discretionary
Ford Motor,"Dearborn, Michigan",F,Consumer Discretionary
Fortive Corp,"Everett, Washington",FTV,Industrials
Fortune Brands Home & Security,"Deerfield, Illinois",FBHS,Industrials
Franklin Resources,"San Mateo, California",BEN,Financials
Freeport-McMoRan Inc.,"Phoenix, Arizona",FCX,Materials
Gap Inc.,"San Francisco, California",GPS,Consumer Discretionary
Garmin Ltd.,"Schaffhausen, Switzerland",GRMN,Consumer Discretionary
Gartner Inc,"Stamford, Connecticut",IT,Information Technology
General Dynamics,"Falls Church, Virginia",GD,Industrials
General Electric,"Boston, Massachusetts",GE,Industrials
General Growth Properties Inc.,"Chicago, Illinois",GGP,Real Estate
General Mills,"Golden Valley, Minnesota",GIS,Consumer Staples
General Motors,"Detroit, Michigan",GM,Consumer Discretionary
Genuine Parts,"Atlanta, Georgia",GPC,Consumer Discretionary
Gilead Sciences,"Foster City, California",GILD,Health Care
Global Payments Inc.,"Atlanta, Georgia",GPN,Information Technology
Goldman Sachs Group,"New York, New York",GS,Financials
Goodyear Tire & Rubber,"Akron, Ohio",GT,Consumer Discretionary
Grainger (W.W.) Inc.,"Lake Forest, Illinois",GWW,Industrials
Halliburton Co.,"Houston, Texas",HAL,Energy
Hanesbrands Inc,"Winston-Salem, North Carolina",HBI,Consumer Discretionary
Harley-Davidson,"Milwaukee, Wisconsin",HOG,Consumer Discretionary
Harris Corporation,"Melbourne, Florida",HRS,Information Technology
Hartford Financial Svc.Gp.,"Hartford, Connecticut",HIG,Financials
Hasbro Inc.,"Pawtucket, Rhode Island",HAS,Consumer Discretionary
HCA Holdings,"Nashville, Tennessee",HCA,Health Care
HCP Inc.,"Long Beach, California",HCP,Real Estate
Helmerich & Payne,"Tulsa, Oklahoma[5]",HP,Energy
Henry Schein,"Melville, New York",HSIC,Health Care
The Hershey Company,"Hershey, Pennsylvania",HSY,Consumer Staples
Hess Corporation,"New York, New York",HES,Energy
Hewlett Packard Enterprise,"Palo Alto, California",HPE,Information Technology
Hilton Worldwide Holdings Inc,"Tysons Corner, Virginia",HLT,Consumer Discretionary
Hologic,"Marlborough, Massachusetts",HOLX,Health Care
Home Depot,"Atlanta, Georgia",HD,Consumer Discretionary
Honeywell Int'l Inc.,"Morristown, New Jersey",HON,Industrials
Hormel Foods Corp.,"Austin, Minnesota",HRL,Consumer Staples
Host Hotels & Resorts,"Bethesda, Maryland",HST,Real Estate
HP Inc.,"Palo Alto, California",HPQ,Information Technology
Humana Inc.,"Louisville, Kentucky",HUM,Health Care
Huntington Bancshares,"Columbus, Ohio",HBAN,Financials
Huntington Ingalls Industries,"Newport News, Virginia",HII,Industrials
IDEXX Laboratories,"Westbrook, Maine",IDXX,Health Care
IHS Markit Ltd.,"London, United Kingdom",INFO,Industrials
Illinois Tool Works,"Glenview, Illinois",ITW,Industrials
Illumina Inc,"San Diego, California",ILMN,Health Care
Ingersoll-Rand PLC,"Dublin, Ireland",IR,Industrials
Intel Corp.,"Santa Clara, California",INTC,Information Technology
Intercontinental Exchange,"Atlanta, Georgia",ICE,Financials
International Business Machines,"Armonk, New York",IBM,Information Technology
Incyte,"Wilmington, Delaware",INCY,Health Care
International Paper,"Memphis, Tennessee",IP,Materials
Interpublic Group,"New York, New York",IPG,Consumer Discretionary
Intl Flavors & Fragrances,"New York, New York",IFF,Materials
Intuit Inc.,"Mountain View, California",INTU,Information Technology
Intuitive Surgical Inc.,"Sunnyvale, California",ISRG,Health Care
Invesco Ltd.,"Atlanta, Georgia",IVZ,Financials
IPG Photonics Corp.,"Oxford, Massachusetts",IPGP,Information Technology
IQVIA Holdings Inc.,"Durham, North Carolina",IQV,Health Care
Iron Mountain Incorporated,"Boston, Massachusetts",IRM,Real Estate
Jacobs Engineering Group,"Pasadena, California",JEC,Industrials
J. B. Hunt Transport Services,"Lowell, Arkansas",JBHT,Industrials
JM Smucker,"Orrville, Ohio",SJM,Consumer Staples
Johnson & Johnson,"New Brunswick, New Jersey",JNJ,Health Care
Johnson Controls International,"Cork, Ireland",JCI,Industrials
JPMorgan Chase & Co.,"New York, New York",JPM,Financials
Juniper Networks,"Sunnyvale, California",JNPR,Information Technology
Kansas City Southern,"Kansas City, Missouri",KSU,Industrials
Kellogg Co.,"Battle Creek, Michigan",K,Consumer Staples
KeyCorp,"Cleveland, Ohio",KEY,Financials
Kimberly-Clark,"Irving, Texas",KMB,Consumer Staples
Kimco Realty,"New Hyde Park, New York",KIM,Real Estate
Kinder Morgan,"Houston, Texas",KMI,Energy
KLA-Tencor Corp.,"Milpitas, California",KLAC,Information Technology
Kohl's Corp.,"Menomonee Falls, Wisconsin",KSS,Consumer Discretionary
Kraft Heinz Co,"Pittsburgh, Pennsylvania",KHC,Consumer Staples
Kroger Co.,"Cincinnati, Ohio",KR,Consumer Staples
L Brands Inc.,"Columbus, Ohio",LB,Consumer Discretionary
L-3 Communications Holdings,"New York, New York",LLL,Industrials
Laboratory Corp. of America Holding,"Burlington, North Carolina",LH,Health Care
Lam Research,"Fremont, California",LRCX,Information Technology
Leggett & Platt,"Carthage, Missouri",LEG,Consumer Discretionary
Lennar Corp.,"Miami, Florida",LEN,Consumer Discretionary
Leucadia National Corp.,"New York, New York",LUK,Financials
Lilly (Eli) & Co.,"Indianapolis, Indiana",LLY,Health Care
Lincoln National,"Radnor, Pennsylvania",LNC,Financials
LKQ Corporation,"Chicago, Illinois",LKQ,Consumer Discretionary
Lockheed Martin Corp.,"Bethesda, Maryland",LMT,Industrials
Loews Corp.,"New York, New York",L,Financials
Lowe's Cos.,"Mooresville, North Carolina",LOW,Consumer Discretionary
LyondellBasell,"Rotterdam, Netherlands",LYB,Materials
M&T Bank Corp.,"Buffalo, New York",MTB,Financials
Macerich,"Santa Monica, California",MAC,Real Estate
Macy's Inc.,"Cincinnati, Ohio",M,Consumer Discretionary
Marathon Oil Corp.,"Houston, Texas",MRO,Energy
Marathon Petroleum,"Findlay, Ohio",MPC,Energy
Marriott Int'l.,"Bethesda, Maryland",MAR,Consumer Discretionary
Marsh & McLennan,"New York, New York",MMC,Financials
Martin Marietta Materials,"Raleigh, North Carolina",MLM,Materials
Masco Corp.,"Taylor, Michigan",MAS,Industrials
Mastercard Inc.,"Harrison, New York",MA,Information Technology
Mattel Inc.,"El Segundo, California",MAT,Consumer Discretionary
McCormick & Co.,"Sparks, Maryland",MKC,Consumer Staples
McDonald's Corp.,"Oak Brook, Illinois",MCD,Consumer Discretionary
McKesson Corp.,"San Francisco, California",MCK,Health Care
Medtronic plc,"Dublin, Ireland",MDT,Health Care
Merck & Co.,"Whitehouse Station, New Jersey",MRK,Health Care
MetLife Inc.,"New York, New York",MET,Financials
Mettler Toledo,"Columbus, Ohio",MTD,Health Care
MGM Resorts International,"Paradise, Nevada",MGM,Consumer Discretionary
Michael Kors Holdings,"New York, New York",KORS,Consumer Discretionary
Microchip Technology,"Chandler, Arizona",MCHP,Information Technology
Micron Technology,"Boise, Idaho",MU,Information Technology
Microsoft Corp.,"Redmond, Washington",MSFT,Information Technology
Mid-America Apartments,"Memphis, Tennessee",MAA,Real Estate
Mohawk Industries,"Amsterdam, New York",MHK,Consumer Discretionary
Molson Coors Brewing Company,"Denver, Colorado",TAP,Consumer Staples
Mondelez International,"Northfield, Illinois",MDLZ,Consumer Staples
Monsanto Co.,"Creve Coeur, Missouri",MON,Materials
Monster Beverage,"Corona, California",MNST,Consumer Staples
Moody's Corp,"New York, New York",MCO,Financials
Morgan Stanley,"New York, New York",MS,Financials
The Mosaic Company,"Plymouth, Minnesota",MOS,Materials
Motorola Solutions Inc.,"Schaumburg, Illinois",MSI,Information Technology
Mylan N.V.,"Amsterdam, Netherlands",MYL,Health Care
"Nasdaq, Inc.","New York, New York",NDAQ,Financials
National Oilwell Varco Inc.,"Houston, Texas",NOV,Energy
Navient,"Wilmington, Delaware",NAVI,Financials
Nektar Therapeutics,"San Francisco, California",NKTR,Health Care
NetApp,"Sunnyvale, California",NTAP,Information Technology
Netflix Inc.,"Los Gatos, California",NFLX,Information Technology
Newell Brands,"Sandy Springs, Georgia",NWL,Consumer Discretionary
Newfield Exploration Co,"Houston, Texas",NFX,Energy
Newmont Mining Corporation,"Denver, Colorado",NEM,Materials
News Corp. Class A,"New York, New York",NWSA,Consumer Discretionary
News Corp. Class B,"New York, New York",NWS,Consumer Discretionary
NextEra Energy,"Juno Beach, Florida",NEE,Utilities
Nielsen Holdings,"New York, New York",NLSN,Industrials
Nike,"Washington County, Oregon",NKE,Consumer Discretionary
NiSource Inc.,"Merrillville, Indiana",NI,Utilities
Noble Energy Inc,"Houston, Texas",NBL,Energy
Nordstrom,"Seattle, Washington",JWN,Consumer Discretionary
Norfolk Southern Corp.,"Norfolk, Virginia",NSC,Industrials
Northern Trust Corp.,"Chicago, Illinois",NTRS,Financials
Northrop Grumman Corp.,"West Falls Church, Virginia",NOC,Industrials
Norwegian Cruise Line,"Miami, Florida",NCLH,Consumer Discretionary
NRG Energy,"Princeton, New Jersey",NRG,Utilities
Nucor Corp.,"Charlotte, North Carolina",NUE,Materials
Nvidia Corporation,"Santa Clara, California",NVDA,Information Technology
O'Reilly Automotive,"Springfield, Missouri",ORLY,Consumer Discretionary
Occidental Petroleum,"Los Angeles, California",OXY,Energy
Omnicom Group,"New York, New York",OMC,Consumer Discretionary
ONEOK,"Tulsa, Oklahoma",OKE,Energy
Oracle Corp.,"Redwood Shores, California",ORCL,Information Technology
PACCAR Inc.,"Bellevue, Washington",PCAR,Industrials
Packaging Corporation of America,"Lake Forest, Illinois",PKG,Materials
Parker-Hannifin,"Cleveland, Ohio",PH,Industrials
Paychex Inc.,"Penfield, New York",PAYX,Information Technology
PayPal,"San Jose, California",PYPL,Information Technology
Pentair Ltd.,"Worsley, UK",PNR,Industrials
People's United Financial,"Bridgeport, Connecticut",PBCT,Financials
PepsiCo Inc.,"Purchase, New York",PEP,Consumer Staples
PerkinElmer,"Waltham, Massachusetts",PKI,Health Care
Perrigo,"Dublin, Ireland",PRGO,Health Care
Pfizer Inc.,"New York, New York",PFE,Health Care
PG&E Corp.,"San Francisco, California",PCG,Utilities
Philip Morris International,"New York, New York",PM,Consumer Staples
Phillips 66,"Houston, Texas",PSX,Energy
Pinnacle West Capital,"Phoenix, Arizona",PNW,Utilities
Pioneer Natural Resources,"Irving, Texas",PXD,Energy
PNC Financial Services,"Pittsburgh, Pennsylvania",PNC,Financials
Polo Ralph Lauren Corp.,"New York, New York",RL,Consumer Discretionary
